pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Mandates,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,MyNeta_age,Terms,Terms_Contested
GEUP41160,11,0,1996,SALMAN KHURSHID,Uttar_Pradesh,FARRUKHABAD,INC,INC,97261,M,3,3,1,FALSE,TRUE,16.75,18370,3.16,,2,7
GEUP41160,10,0,1991,SALMAN KHURSEED,Uttar_Pradesh,FARRUKHABAD,INC,INC,142842,M,1,2,1,FALSE,FALSE,29.54,38150,7.89,,2,7
GEUP41160,9,0,1989,SALMAN KHURSHID,Uttar_Pradesh,FARRUKHABAD,INC,"",157968,M,2,1,0,FALSE,FALSE,30.89,24866,4.86,,2,7
GEUP48013,17,0,2019,Jai Prakash,Uttar_Pradesh,HARDOI,BJP,BSP,568143,M,1,7,5,TRUE,FALSE,53.72,132474,12.53,61,5,7
GEUP48013,15,0,2009,JAI PRAKASH,Uttar_Pradesh,MOHANLALGANJ,BSP,SP,179772,M,2,6,4,TRUE,TRUE,25.89,35431,5.1,50,5,7
GEUP48013,14,0,2004,JAI PRAKASH,Uttar_Pradesh,MOHANLALGANJ,SP,ABLTC,148578,M,1,5,4,TRUE,TRUE,25.98,2568,0.45,48,5,7
GEUP48013,13,0,1999,Jai Prakash,Uttar_Pradesh,HARDOI,ABLTC,BJP,206256,M,1,4,3,TRUE,FALSE,37.16,5404,0.97,,5,7
GEUP48013,12,0,1998,JAI PRAKASH,Uttar_Pradesh,HARDOI,BJP,BJP,191208,M,2,3,2,FALSE,TRUE,34.06,47374,8.44,,5,7
GEUP48013,11,0,1996,JAIPRAKASH,Uttar_Pradesh,HARDOI,BJP,BJP,142278,M,1,2,2,FALSE,TRUE,35.44,23318,5.81,,5,7
GEUP48013,10,0,1991,JAI PRAKASH,Uttar_Pradesh,HARDOI,BJP,"",133025,M,1,1,1,FALSE,FALSE,30.91,38257,8.89,,5,7
GEUP48277,17,0,2019,Brijbhusan Sharan Singh,Uttar_Pradesh,KAISERGANJ,BJP,BJP,581358,M,1,6,6,FALSE,TRUE,59.24,261601,26.66,62,6,6
GEUP48277,16,0,2014,BRIJ BHUSAN SHARAN SINGH,Uttar_Pradesh,KAISERGANJ,BJP,SP,381500,M,1,5,5,TRUE,TRUE,40.44,78218,8.29,57,6,6
GEUP48277,15,0,2009,BRIJBHUSHAN SHARAN SINGH,Uttar_Pradesh,KAISERGANJ,SP,BJP,196063,M,1,4,4,TRUE,TRUE,34.66,72199,12.76,52,6,6
